datasetUuid,endpointType,startedCrawling,finishedCrawling,duration,finishReason,pagesCrawled,pagesFragmentedSuccessful,pagesFragmentedError,fragmentsEmitted,fragmentsReceived,rawOccurrencesPersistedNew,rawOccurrencesPersistedUpdated,rawOccurrencesPersistedUnchanged,rawOccurrencesPersistedError,fragmentsProcessed,verbatimOccurrencesPersistedSuccessful,verbatimOccurrencesPersistedError,interpretedOccurrencesPersistedSuccessful,interpretedOccurrencesPersistedError
http://gbrds.gbif.org/browse/agent?uuid=98b2473c-144b-4fb1-b954-e0c87eb55408,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:15:23,2013-04-09T11:16:31,67,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=88284cd4-761a-438e-9dfa-d42d5b321ec3,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:16:33,2013-04-09T11:16:33,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=0d3652c5-e67a-452c-97f3-1a8109ccd531,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:30:42,2013-04-09T11:30:44,1,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=4f0327bb-d1e2-4692-a893-7c09d9f2bf68,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:58:46,2013-04-09T10:58:46,0,NORMAL,1,1,0,163,163,163,0,0,0,163,163,0,163,0
http://gbrds.gbif.org/browse/agent?uuid=6412c3c4-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:54:21,2013-04-09T10:55:09,48,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=202917ae-49f3-4256-8fcf-2489a81a1d56,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:31:33,2013-04-09T11:31:34,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=63d72e90-c7b8-11de-b279-ef4016664769,DWC_ARCHIVE_OCCURRENCE,2013-04-09T10:55:10,2013-04-09T10:55:11,1,NORMAL,1,1,0,79186,79186,79186,0,0,0,79186,79186,0,79186,0
http://gbrds.gbif.org/browse/agent?uuid=91c4bb90-3608-47e6-9757-361a4a7728f5,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:36:43,2013-04-09T11:46:43,600,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=6197ea48-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T11:20:37,2013-04-09T11:20:45,8,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=8583f4f6-f762-11e1-a439-00145eb45e9a,BIOCASE,2013-04-09T10:55:34,2013-04-09T11:08:10,756,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=e91c5ba1-60c5-4244-861f-30b5139603ff,DWC_ARCHIVE_CHECKLIST,2013-04-09T11:09:19,2013-04-09T11:09:30,10,NORMAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0
http://gbrds.gbif.org/browse/agent?uuid=912de54b-1fbe-4ef1-a283-9f7329238022,DWC_ARCHIVE_OCCURRENCE,2013-04-09T11:34:15,2013-04-09T11:34:15,0,ABORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
